fip,state,pop,x,y,city
29379,SC,22553,-81.620235,34.726855,UNION
63873,MO,5400,-89.700234,36.427945,PORTAGEVILLE
60437,IL,687,-88.480477,41.161825,KINSMAN
60436,IL,23888,-88.135779,41.508818,ROCKDALE
17045,PA,3951,-77.008327,40.575272,LIVERPOOL
60433,IL,18342,-88.05687,41.511873,JOLIET
60432,IL,20199,-88.057178,41.537758,JOLIET
76519,TX,1312,-96.885308,30.945691,BURLINGTON
55335,MN,1718,-94.54668,44.560587,GIBBON
60424,IL,2349,-88.296543,41.179321,GARDNER
60417,IL,14372,-87.602738,41.438952,CRETE
02744,MA,13424,-70.916746,41.612716,NEW BEDFORD
60641,IL,59870,-87.747376,41.945333,CHICAGO
60411,IL,60738,-87.613209,41.506202,SAUK VILLAGE
60407,IL,1535,-88.269042,41.228788,BRACEVILLE
60402,IL,51541,-87.79075,41.841819,STICKNEY
60621,IL,56458,-87.642136,41.774993,CHICAGO
60301,IL,1673,-87.798598,41.888601,OAK PARK
63733,MO,139,-90.080448,37.064804,ARAB
60202,IL,31509,-87.686544,42.03022,EVANSTON
80615,CO,2902,-104.714559,40.527272,EATON
58301,ND,10324,-98.861588,48.113162,DEVILS LAKE
60193,IL,39438,-88.093481,42.014432,SCHAUMBURG
08609,NJ,15904,-74.742598,40.223338,HAMILTON
46779,IN,1625,-85.021276,41.584255,PLEASANT LAKE
67878,KS,2302,-101.768654,37.982581,SYRACUSE
60191,IL,13750,-87.980971,41.960171,WOOD DALE
60190,IL,9255,-88.151621,41.874358,WINFIELD
62526,IL,39674,-88.953515,39.877413,BEARSDALE
97843,OR,535,-119.769034,45.54033,IONE
60188,IL,34902,-88.136962,41.91784,CAROL STREAM
60181,IL,27217,-87.978246,41.879899,VILLA PARK
60176,IL,11189,-87.869179,41.956304,SCHILLER PARK
60171,IL,9949,-87.838707,41.927886,RIVER GROVE
60160,IL,21235,-87.858066,41.900347,MELROSE PARK
60957,IL,5226,-88.098989,40.456546,PAXTON
60157,IL,3110,-88.057507,41.970545,MEDINAH
60154,IL,16957,-87.884488,41.852368,WESTCHESTER
60153,IL,37099,-87.847675,41.874857,BROADVIEW
60152,IL,8536,-88.607369,42.244189,MARENGO
34292,FL,13901,-82.415112,27.103245,MID VENICE
60145,IL,1555,-88.769496,42.105654,KINGSTON
60143,IL,8650,-88.020247,41.971967,ITASCA
60141,IL,200,-87.835542,41.862262,HINES
75438,TX,1094,-96.06194,33.564704,DODD CITY
78010,TX,2704,-99.00714,29.939658,CAMP VERDE
69150,NE,546,-101.537067,40.85443,MADRID
60136,IL,1212,-88.369089,42.098377,GILBERTS
60134,IL,13603,-88.310954,41.886013,GENEVA
50641,IA,1480,-91.910462,42.607561,HAZLETON
60129,IL,388,-88.94386,42.022458,ESMOND
28736,NC,125,-83.090033,35.188164,GLENVILLE
60120,IL,42848,-88.260631,42.038356,ELGIN
60118,IL,11919,-88.290202,42.096197,DUNDEE
15861,PA,168,-78.06607,41.376197,SINNAMAHONING
60511,IL,1976,-88.537617,41.759308,BIG ROCK
60111,IL,373,-88.837832,42.027045,CLARE
60106,IL,20080,-87.944973,41.950145,BENSENVILLE
60103,IL,51877,-88.160356,41.983559,HANOVER PARK
60098,IL,21770,-88.447671,42.319775,WOODSTOCK
69351,NE,5,-102.443655,42.049595,LAKESIDE
53545,WI,40339,-89.033124,42.691542,JANESVILLE
56241,MN,4051,-95.551557,44.808749,GRANITE FALLS
62628,IL,879,-90.411299,39.771581,CHAPIN
60097,IL,8401,-88.353364,42.384908,WONDER LAKE
60203,IL,4764,-87.71759,42.048487,EVANSTON
60093,IL,19317,-87.752256,42.103605,NORTHFIELD
38225,TN,5475,-88.696291,36.295042,DRESDEN
60091,IL,26657,-87.724572,42.076462,WILMETTE
08401,NJ,31907,-74.431727,39.366411,ATLANTIC CITY
60090,IL,31261,-87.934097,42.13404,WHEELING
60087,IL,17816,-87.855387,42.398906,WAUKEGAN
77485,TX,3380,-96.045574,29.63968,WALLIS
75605,TX,9166,-94.776748,32.554711,LONGVIEW
12428,NY,6902,-74.414125,41.721805,ELLENVILLE
60083,IL,5510,-87.904048,42.446032,WADSWORTH
45614,OH,3572,-82.270092,38.927647,BIDWELL
50060,IA,2617,-93.322549,40.76131,SEWAL
60082,IL,196,-87.804882,42.121425,TECHNY
72118,AR,26442,-92.307875,34.821598,CAMP JOSEPH T RO
60081,IL,2783,-88.223734,42.441267,SPRING GROVE
14086,NY,24540,-78.663085,42.901681,LANCASTER
60077,IL,22680,-87.754123,42.034525,SKOKIE
68346,NE,619,-96.013575,40.659156,DUNBAR
60073,IL,28919,-88.088819,42.366809,ROUND LAKE
